id,filename,decision,primary_page,secondary_page,confidence,short_reason,technical_score,visual_tier
002,IMG_8068.JPG,KEEP,BACKGROUND,SUPPORTING,MEDIUM,Tree branches. Good texture.,96.85,S-CANDIDATE
004,IMG_8113.JPG,TOP_PICK,BACKGROUND,SUPPORTING,HIGH,Tree silhouette against sky. Perfect for text overlay.,94.41,S-CANDIDATE
008,IMG_8083.JPG,TOP_PICK,ABOUT,GALLERY,HIGH,Nice candid portrait showing village environment.,95.9,S-CANDIDATE
012,IMG_8088.JPG,TOP_PICK,KKN,GALLERY,HIGH,Gotong royong activity (sweeping). Directly shows pengabdian.,96.9,S-CANDIDATE
014,IMG_8091.JPG,KEEP,GALLERY,SUPPORTING,HIGH,Little girl peeking. Great human interest.,109.67,S-CANDIDATE
016,IMG_8094.JPG,TOP_PICK,SUPPORTING,GALLERY,HIGH,Boy holding green flag. Good leading lines and action.,107.35,S-CANDIDATE
019,IMG_8101.JPG,KEEP,KKN,GALLERY,HIGH,Carrying items together. Teamwork vibe.,59.25,B-CANDIDATE
022,IMG_8109.JPG,KEEP,GALLERY,SUPPORTING,MEDIUM,Portrait under tree.,98.06,S-CANDIDATE
030,IMG_7855.JPG,KEEP,PENDIDIKAN,GALLERY,HIGH,"Kids lined up outdoors, good documentation of activity.",100.0,S-CANDIDATE
032,IMG_7859.JPG,KEEP,KKN,GALLERY,MEDIUM,Teachers and KKN interacting with students.,71.19,B-CANDIDATE
042,IMG_7877.JPG,KEEP,PENDIDIKAN,GALLERY,MEDIUM,"Uniformed kids, shows school environment.",92.42,S-CANDIDATE
060,IMG_7917.JPG,TOP_PICK,PENDIDIKAN,GALLERY,HIGH,Active crafting (volcano project). Great storytelling.,-7.87,REJECT-CANDIDATE
072,IMG_7954.JPG,KEEP,PENDIDIKAN,GALLERY,HIGH,Proud kid showing artwork.,90.6,S-CANDIDATE
077,IMG_7959.JPG,KEEP,GALLERY,PENDIDIKAN,HIGH,Proud artwork portrait.,99.05,S-CANDIDATE
083,IMG_7965.JPG,KEEP,GALLERY,PENDIDIKAN,HIGH,Proud artwork portrait.,101.87,S-CANDIDATE
091,IMG_7973.JPG,KEEP,GALLERY,PENDIDIKAN,HIGH,Proud artwork portrait.,105.02,S-CANDIDATE
107,IMG_7990.JPG,TOP_PICK,KKN,GALLERY,HIGH,Great interaction between KKN members and kids.,94.08,S-CANDIDATE
119,IMG_8002.JPG,TOP_PICK,HERO,KKN,HIGH,Large vibrant group shot outdoors. Good energy.,104.03,S-CANDIDATE
134,IMG_8018.JPG,KEEP,KKN,GALLERY,HIGH,Large group documentation shot on porch.,103.86,S-CANDIDATE
157,IMG_8041.JPG,KEEP,KKN,GALLERY,HIGH,KKN members posing outdoors with kids.,96.24,S-CANDIDATE
